ID du Bilan GES,Type de structure,Type de collectivité,Raison sociale / Nom de l'entité,Année de reporting,Date de publication,Mode de consolidation,Descriptif sommaire de l'activité,SIREN,Libellé,Région,Ville,Emissions publication P1 - tCO2e,Emissions publication P2 - tCO2e,Emissions publication P3 - tCO2e,Emissions publication P4 - tCO2e,Emissions publication P5 - tCO2e,Emissions publication P6 - tCO2e,Emissions publication P7 - tCO2e,Emissions publication P8 - tCO2e,Emissions publication P9 - tCO2e,Emissions publication P10 - tCO2e,Emissions publication P11 - tCO2e,Emissions publication P12 - tCO2e,Emissions publication P13 - tCO2e,Emissions publication P14 - tCO2e,Emissions publication P15 - tCO2e,Emissions publication P16 - tCO2e,Emissions publication P17 - tCO2e,Emissions publication P18 - tCO2e,Emissions publication P19 - tCO2e,Emissions publication P20 - tCO2e,Emissions publication P21 - tCO2e,Emissions publication P22 - tCO2e,Emissions publication P23 - tCO2e
1,Entreprise,,Mutuelle d'Assurance des Instituteurs de France,1/1/2011,3/4/2015,Opérationnel,Mutuelle d'assurance,775709702.0,Autres assurances,,NIORT,628.0,4609.0,,780.0,0.0,2170.00,,1855.00,13221.00,23536.00,99.00,1303.00,2127.00,,,5367.00,,,,,,12423.0,
2,Entreprise,,ADIDAS France,1/1/2011,3/5/2015,Opérationnel,"ADIDAS France est une entreprise de distribution et de vente des articles de sport de la marque (tee-shirts, chaussures, ?).  ",85480069.0,Commerce de gros (commerce interentreprises) d'habillement et de chaussures,,SAVERNE,786.19,,,,,516.26,,7.25,,,,,1156.84,,,,,,,,,,
3,Etablissement public,,CROUS Nice-Toulon,1/1/2011,3/5/2015,Opérationnel,"Les activités gérées par le CROUS de Nice-Toulon sont :_x000D_
- Les bourses : plus de 13 000 boursiers sur les 50 000 étudiants que compte_x000D_
l'Académie de Nice_x000D_
- Le logement : Plus de 3 700 étudiants logés dans les 13 résidences universitaires_x000D_
- La restauration : 7 restaurants dont 5 avec cafétéria intégrée et 6 cafétérias_x000D_
indépendantes soit plus de 4 600 places_x000D_
- L'accueil des étudiants internationaux_x000D_
- Le logement chez les particuliers_x000D_
- L'action sociale_x000D_
- L'emploi temporaire_x000D_
- L'action cult",180600041.0,Action sociale sans hébergement n.c.a.,,Nice,799.0,25.0,,,,382.00,,,,,,,,,,,,,,,,,
4,Collectivité territoriale (dont EPCI),Communes,Fort de France,1/1/2010,3/25/2015,,,,,Martinique,,19686.0,125.0,,,,,,,4385.00,7681.00,21699.00,609.00,14300.00,,,,,,,,,,
5,Collectivité territoriale (dont EPCI),Communes,concarneau Cornouaille Agglomération,1/1/2011,3/5/2015,,,,,Bretagne,,494.37,482.79,,,,oui,,,,,,,,,,,,,,,,,
6,Collectivité territoriale (dont EPCI),Communes,Communauté Urbaine d'Alençon,1/1/2012,3/5/2015,,,,,Normandie,,1746.44,1258.17,,76.38,,1416.92,68.26,411.90,3312.86,1570.26,534.67,,,,,1038.50,,,,,,654.13,
7,Etablissement public,,OPAC Saône et Loire,1/1/2011,3/5/2015,Opérationnel,"Premier bailleur social en Bourgogne, l'OPAC Saône et Loire est présent sur 300 communes du département, et gérait en 2011 25 057 baux pour un chiffre d'affaires  de 127 M?",778596502.0,Location de logements,,MACON,17490.0,312.0,,,,409.00,22910.00,,,,,,,,,,,,,,,,
8,Entreprise,,Système U Ouest,1/1/2012,3/6/2015,Opérationnel,"Coopérative / Centrale d'achat d'approvisionnement de produits alimentaires et non_x000D_
alimentaires",867800427.0,Centrales d'achat alimentaires,,CARQUEFOU,918.0,2586.0,,628.0,,2432.00,,,,,,,,,,,,,,,,,
9,Entreprise,,Caisse d'Epargne Aquitaine Poitou-Charentes,1/1/2011,3/6/2015,Opérationnel,"La Caisse d'Epargne Aquitaine Poitou-Charentes est une des 17 Caisses d'Epargne du Groupe BPCE. Elle a pour objet toutes opérations de banque, de services d'investissement et d'intermédiation d'assurance effectuées avec ses sociétaires et avec les tiers. Elle peut également effectuer toutes opérations connexes aux opérations de banque et de services d'investissement, exercer l'activité d'intermédiaire ou d'entremise dans le domaine immobilier, prendre toutes participations et, généralement, effe",353821028.0,Autres intermédiations monétaires,,BORDEAUX,860.0,680.0,,200.0,,,,,,,,,,,,,,,,,,9130.0,
10,Collectivité territoriale (dont EPCI),Communauté d'agglomération,Communauté d'Agglomération de l'Espace Sud Martinique,1/1/2012,3/6/2015,,,,,Martinique,,2095.0,110.0,,,79.0,231.00,,165.00,286.00,285.00,29.00,,46.00,,,9.00,,,,,,407.0,3044.0
11,Etablissement public,,ADEME (Agence de l'environnement et de la Maîtrise de l'Energie),1/1/2011,3/9/2015,Opérationnel,"L'ADEME est un établissement Public à caractère Industriel et Commercial (EPIC) régi par le Code de l'environnement._x000D_
L'ADEME participe à la mise en ?uvre des politiques publiques dans les domaines de l'environnement, de l'énergie et du développement durable. Afin de leur permettre de progresser dans leur démarche environnementale, l'Agence met à disposition des entreprises, des collectivités locales, des pouvoirs publics et du grand public, ses capacités d'expertise et de conseil. Elle aide en ",385290309.0,Administration publique (tutelle) des activités économiques,,ANGERS,391.0,258.0,,68.0,,229.00,57.00,141.00,11276.00,1934.00,15.00,7.00,1200.00,1.00,,672.00,54.00,1036.00,,,,767.0,53654.0
12,Etablissement public,,Chambre des métiers et de l'artisanat du Var,1/1/2011,3/9/2015,Opérationnel,"La Chambre de Métiers et de l'Artisanat du Var dispose de son siège sur le site de La Valette du Var._x000D_
L'activité principale des sites est de dispenser des formations dans les différents domaines suivants : comptabilité, secrétariat, commerce, mécanique, hôtellerie restauration, esthétique, électronique, soins à la personne, boulangerie, fleuriste, boucher, ?_x000D_
",180600033.0,Activités des organisations patronales et consulaires,,TOULON,430.05,53.0,,,51.0,99.00,,,,,,,,,,,,,,,,,
